"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.Q","f.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.Q","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,1.11198299131898,4,1.2607302657565,13.0365132934381,0.655187345530449,3.31038009801973,0.14660572088681,0.344675580505759,0.109324790650327,0,2.51053700211652,10.151543419515,4.80763089111532,2.94934652305261,12.3868970940997,1.71093050510561,0.0916766740608576,9.28691196750083,0.411689536750978,0,80.6793914729417,34.3653277473636,10,1e-05,18.3995551727737,13.3213799639104,8.19781058186682,16.0011552275225,2.41838796046393,63.7511953703451,20.2207132786844,146.689802411991
"2",0.01,1.08727226752466,4,1.26073026498288,13.0365132846628,0.655187344889366,3.31038009720675,0.146605720780767,0.344675580440388,0.109324790699931,0.0466835312913549,2.56759462626499,10.1515434112371,4.70079468661362,2.88380551204303,12.111632805363,1.67290984109585,0.0896394153541976,9.08053622210734,0.402540884011536,1.46689778788076,80.6793910669761,33.6016540709312,10,1e-05,18.3995551866074,13.3213799221748,8.19781057242906,16.0011552164877,2.41838795851313,63.7511953582541,20.2207132878592,146.689802292377
"3",0.02,1.06256029217068,4,1.26073026599906,13.0365133001246,0.655187345606845,3.31038010376619,0.14660572108769,0.344675580982143,0.109324790988926,0.0955409050904301,2.62730920844143,10.1515434204347,4.59395307767772,2.81826119062589,11.8363546191459,1.6348872572689,0.0876020536653253,8.8741500285887,0.393391768262591,2.9338693915843,80.6793913201686,32.8379417182929,10,1e-05,18.3995549607234,13.3213799700412,8.19781060382038,16.0011552771194,2.41838796225455,63.7511954584571,20.2207133413117,146.689802425281
"4",0.03,1.03785079407524,4,1.26073026421577,13.0365132139223,0.655187345783025,3.31038006152411,0.146605716651776,0.344675576266462,0.109324791282606,0.146719692981309,2.68986105352892,10.1515433790473,4.48712216897179,2.75272335606412,11.5611038739322,1.59686845031209,0.0855648932001831,8.66778436782885,0.384243568590293,4.40069403115997,80.6793910373191,32.0743060798551,10,1e-05,18.3995565774049,13.321380738614,8.19781084424522,16.0011538258188,2.41838818669712,63.7511945862447,20.2207133956307,146.689801827234
"5",0.04,1.01313882628006,4,1.26073026843853,13.0365134285045,0.655187349754207,3.31038014508303,0.146605723708779,0.344675585422508,0.109324793384902,0.200400382200995,2.7554708120778,10.1515435125734,4.38028060374985,2.68717911990594,11.2858261020494,1.55884594524573,0.083527536853842,8.4613984885879,0.375094463441061,5.86766549146561,80.6793920210865,31.3105939842994,10,1e-05,18.3995527524378,13.3213795709434,8.19781013933062,16.0011551435238,2.41838853484012,63.7511962797471,20.2207137844715,146.689803756685
"6",0.05,0.988429328127477,4,1.26073025941719,13.036512959232,0.655187328395634,3.31038010799626,0.146605720901613,0.344675579020824,0.109324791886354,0.256759455371753,2.82435401487656,10.1515430587555,4.27344967035781,2.62164122857071,11.0105747334427,1.52082709303324,0.0814903764930339,8.2550327471392,0.365946255600564,7.33448984534453,80.679388464107,30.5469567849288,10,1e-05,18.3995578900349,13.3213812675169,8.19781119733398,16.001155809687,2.41838810062496,63.7511950956917,20.2207135073001,146.689797199018
"7",0.06,0.963718594649389,4,1.26073026157161,13.0365130777476,0.655187340072305,3.31038002917038,0.146605723806136,0.344675570264145,0.109324784316702,0.316011644449501,2.8967734072676,10.1515432620086,4.16661343453053,2.55610018819649,10.7353105428513,1.48280637732614,0.0794531191057263,8.04865695406382,0.356797584705505,8.80138800878158,80.679390075313,29.7832838511506,10,1e-05,18.3995580356158,13.3213811176665,8.19781074790765,16.0011560293855,2.41838835494139,63.7511934760562,20.2207121072172,146.689800136025
"8",0.07,0.939007862360204,4,1.26073026524255,13.0365132481806,0.655187347350941,3.31038004878798,0.1466057231798,0.344675573282346,0.109324787219955,0.378382367950496,2.97300432978752,10.1515434212444,4.05977720836178,2.49055923140883,10.4600464150183,1.44478572963197,0.0774158598506992,7.84228118918596,0.347648937289507,10.2682861341872,80.6793913304907,29.0196104015561,10,1e-05,18.3995563484394,13.3213804600445,8.19781029482087,16.0011555987178,2.41838826310617,63.7511940343027,20.2207126442029,146.689802436981
"9",0.08,0.914297138821722,4,1.26073026218009,13.0365132525389,0.655187344026913,3.31038008357236,0.146605720529135,0.34467557927248,0.109324789495146,0.444124461754941,3.0533557430955,10.151543391918,3.95294099829213,2.42501827333169,10.1847821697305,1.40676509529541,0.0753785995289832,7.63590550029322,0.33850028805291,11.7351838427688,80.6793907298237,28.2559365160975,10,1e-05,18.3995552120843,13.3213800079202,8.19781058219428,16.0011551493244,2.41838799837404,63.7511951422378,20.2207130650223,146.689802013215
"10",0.09,0.889586393194187,4,1.26073026495253,13.0365132304084,0.655187347367383,3.31038004264154,0.146605719460952,0.344675585410163,0.109324776219612,0.513518933059789,3.13817124645103,10.1515434116164,3.84610471104057,2.35947718326301,9.90951760034188,1.3687443687168,0.0733413384258818,7.42952999313155,0.329351599820587,13.2020822638802,80.6793913262907,27.4922619129454,10,1e-05,18.3995567364553,13.3213806317459,8.19781070622675,16.0011548861082,2.41838795408585,63.7511962774638,20.2207106095794,146.689802297857
"11",0.1,0.864875656753735,4,1.26073024357304,13.0365121919317,0.655187269297588,3.31038034098185,0.146605720553496,0.344675596994944,0.109324811782633,0.586878708052025,3.22783285131559,10.1515420151498,3.73926839140572,2.29393585176654,9.63425175722329,1.33072375579504,0.0713040769770112,7.22315336395299,0.320203002380484,14.6689784229709,80.6793802522955,26.7285832441467,10,1e-05,18.3995610651899,13.3213822843059,8.19781314663293,16.0011573613083,2.41838833939201,63.7511984201849,20.2207171873158,146.689782118914
"12",0.11,0.840164928679957,4,1.26073028472863,13.0365142364698,0.655187412101364,3.31037990416811,0.146605719956587,0.3446755685159,0.109324772874933,0.66455398746037,3.32276993729967,10.1515446087049,3.63243229174433,2.22839543871728,9.35899026492389,1.29270303803483,0.0692668217482495,7.01677824537489,0.311054290837733,16.1358801555322,80.6794007776082,25.9649182712644,10,1e-05,18.3995491829208,13.3213785823512,8.19780880846642,16.0011530398131,2.41838764679507,63.7511931527009,20.2207099909476,146.689819595786
"13",0.12,0.815454195155162,4,1.26073026068723,13.0365130427886,0.655187330068673,3.31038013107301,0.146605720687555,0.344675582098047,0.10932479421096,0.746936614190292,3.42345942632269,10.1515431228296,3.52559597921889,2.16285404660563,9.08372423154947,1.25468236851942,0.06722956067021,6.81040204564634,0.301905665891541,17.6027760115819,80.6793887478974,25.2012394673071,10,1e-05,18.3995569184141,13.3213806399809,8.19781096521267,16.0011556658128,2.41838803486982,63.7511956648548,20.2207139372591,146.689798124888
"14",0.13,0.790743458979436,4,1.26073025277146,13.0365125900037,0.655187295988324,3.31038025213046,0.146605722631124,0.344675589900885,0.109324803362103,0.83446819865121,3.53044234965245,10.1515425223771,3.4187597030352,2.09731286589395,8.80845922245167,1.21666170448732,0.0651923008484779,6.60402606383614,0.292757020035059,19.0696727975031,80.6793842439293,24.4375635263293,10,1e-05,18.3995593978653,13.3213812026063,8.19781215108529,16.0011569608142,2.41838838208876,63.7511971080677,20.2207156298545,146.68978944835
"15",0.14,0.766032713508897,4,1.26073025014894,13.0365124587363,0.655187281767473,3.31038033906688,0.146605722925439,0.344675597367425,0.109324811687399,0.92764703028282,3.64432758984766,10.1515422946874,3.31192340191249,2.03177179327289,8.53319455315125,1.1786410363382,0.0631550404487855,6.39765011275915,0.283608372557926,20.536570384616,80.6793830091674,23.6738884540083,10,1e-05,18.3995593196303,13.3213810409209,8.19781227586644,16.0011575178155,2.41838831030155,63.7511984890789,20.2207171697014,146.689786158232
"16",0.15,0.74132198107444,4,1.26073025092058,13.036512554521,0.655187288790287,3.31038031627971,0.146605722614769,0.344675596460713,0.109324809288535,1.02703780967811,3.76580520289863,10.1515424192525,3.20508716622425,1.96623078939981,8.25793035107344,1.14062035840963,0.0611177811384363,6.19127435042978,0.274459712195482,22.0034688371881,80.6793836099089,22.9102150022301,10,1e-05,18.3995584748663,13.3213809105553,8.19781206971769,16.0011571286837,2.41838836151659,63.7511983213735,20.2207167260074,146.689787958198
"17",0.16,0.716611260441234,4,1.26073026564574,13.036513201636,0.655187338837121,3.31038012718481,0.146605721781555,0.34467558212545,0.109324792817697,1.13328317334104,3.89566079325813,10.1515432926894,3.09825101571847,1.9006899481259,7.98266689331215,1.10259966138467,0.0590805233975729,5.98489878737597,0.265311037206733,23.4703686669297,80.6793899088072,22.146544137104,10,1e-05,18.3995558114342,13.3213802286931,8.19781083027924,16.0011555891886,2.4183880777216,63.7511956699231,20.2207136795612,146.689800579362
"18",0.17,0.691900518281444,4,1.26073026697617,13.0365132387193,0.655187340973519,3.31038013064635,0.146605722128279,0.344675582396767,0.10932479288372,1.2471174310413,4.03479163803012,10.1515433276968,2.99141473786484,1.83514890238735,7.70740246429576,1.06457897354782,0.0570432633653546,5.77852289559114,0.256162377533434,24.9372665902742,80.6793908972586,21.3828699831002,10,1e-05,18.3995553834569,13.3213802390846,8.19781082265786,16.0011556214348,2.41838807258382,63.7511957201061,20.2207136917728,146.689801085219
"19",0.18,0.667189797623837,4,1.2607302433688,13.0365121668122,0.655187270272758,3.31038030017819,0.146605716956911,0.344675594362967,0.109324812951254,1.36938362189388,4.18422773838723,10.1515420335314,2.88457849569167,1.76960766358255,7.43213704323554,1.02655831101163,0.0550060018922454,5.57214692003498,0.247013750961075,26.4041607871064,80.6793802758134,20.619193135199,10,1e-05,18.3995629927472,13.3213822473928,8.19781236842719,16.0011565739808,2.41838810549476,63.7511979333744,20.220717403464,146.689782384528
"20",0.19,0.642479043931907,4,1.26073026830583,13.0365134363274,0.655187341394329,3.31038021868369,0.14660572184342,0.344675593984276,0.109324799199594,1.50105541343398,4.3451603495407,10.1515434456066,2.77774222165338,1.70406687234638,7.15687377603866,0.988537653905082,0.0529687439095527,5.3657712831954,0.237865071617396,27.8710630957533,80.6793920992981,19.8555219712986,10,1e-05,18.3995522240314,13.3213783161422,8.1978105650347,16.0011551315475,2.41838812935247,63.7511978633317,20.2207148599568,146.689802789016
"21",0.2,0.61776830168432,4,1.26073024813352,13.0365124510348,0.655187262254084,3.31038055117449,0.146605723719844,0.344675620472984,0.109324826885394,1.64326047884561,4.51896623807686,10.1515420694071,2.67090589730215,1.63852561506163,6.88160828949888,0.950517022862226,0.0509314829829269,5.15939520617453,0.228716443904057,29.3379573984769,80.6793814398737,19.091844106795,10,1e-05,18.3995559009422,13.3213793079119,8.19781262338528,16.0011576891122,2.41838857591873,63.7512027626832,20.2207199807225,146.689782902932
