"x_C","x_C2","protein","phi","mu","mu_norm","convergence","f.TS","f.LAC","f.EFFLUX","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.LAC","v.EFFLUX","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.LAC","p.EFFLUX","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.x_LAC","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0.48,1e-04,"LAC",0,0.844760565159827,1,4,1.27206765412517,2.99174562605163e-12,5.06052966323312e-15,13.6033827062786,0.695476656325605,3.10779971838772,0.135905457679157,0.363538276373257,0.0739515069862169,10.9634754780833,242.857925434991,5.71171772048385e-10,9.66135513020519e-13,2597.10188544733,132.777543235197,593.328342110981,25.946511099641,69.4052327562242,14.118517604958,2093.10165346184,37.4405968378944,5.33474435093192e-08,4.1701063660806e-15,3.98754004145149,18.6881857687772,1.41173145528723,0.0840874977323967,9.22299546518036,0.330973110136417,52.7211626725348,0.48,1e-05,1e-04,15.5994368821631,8.51299684677676,3.86159543283836,9.52824432114914,1.33193135020127,52.5821762946278,10.6963459704864,123.887272902342
0.48,1e-04,"LAC",0.005,0.840543780972613,0.995008308435402,4,1.27207200155587,3.49210838073987e-05,0,13.6053461284568,0.695629430696013,3.10717921391548,0.135908685594886,0.363461665447881,0.0739148122546466,10.9661686847879,241.64647942772,0.00663371015912392,0,2584.51093123345,132.14378015427,590.24875720503,25.8176073032693,69.0442300082012,14.0410716823027,2083.16514493549,37.2538322451069,0.619588528862174,0,3.96878524113541,18.6009447352727,1.40457891685296,0.0836756235770167,9.17786868518903,0.329259668557704,52.4791724935492,0.48,1e-05,1e-04,15.5922218807453,8.51100397157521,3.85982854031525,9.52558288318249,1.33152286712807,52.5710952903814,10.6910384445121,123.917706138103
0.48,1e-04,"LAC",0.01,0.836326949653455,0.990016561077545,4,1.27203674308284,7.01943226101142e-05,2.77555756156289e-25,13.6053469054203,0.695629482579731,3.10717907153213,0.135908686818059,0.363461649193538,0.0739148033469162,10.9661696450257,240.427525676848,0.0132674212388007,5.24607831125182e-23,2571.54513046352,131.480852415612,587.287576452264,25.6880860300176,68.6978465592463,13.9706288959237,2072.71452514511,37.065910208514,1.23917714370398,2.2645903117439e-25,3.94887519958992,18.5076302360453,1.39753247272152,0.0832558436564615,9.13182562788681,0.327607830838584,52.2159024258341,0.48,1e-05,1e-04,15.5922176392515,8.51100267647043,3.8598278365657,9.52558186361188,1.3315227409924,52.5710929393533,10.691037156098,123.917716988791
0.48,1e-04,"LAC",0.015,0.832110117181363,0.985024812354883,4,1.27200109466482,0.000105825058018022,5.83613830139397e-17,13.6053461887519,0.695629449816808,3.10717902000193,0.135908686309969,0.363461640853355,0.0739148002142726,10.9661689458795,239.208565465619,0.0199011309227507,1.09752599804426e-14,2558.57904377987,130.817908478423,584.326412246825,25.5585643934459,68.3514645348799,13.9001871933082,2062.26358860853,36.8779871759496,1.85876562818491,4.73772293612631e-17,3.92896409811677,18.4143109106114,1.3904858556378,0.0828360585855556,9.08578197574428,0.325955990399712,51.9526213952083,0.48,1e-05,1e-04,15.5922228181496,8.51100475247259,3.8598283315461,9.52558284251172,1.33152281506476,52.5710917330292,10.6910367029924,123.917709088438
0.48,1e-04,"LAC",0.02,0.827893288452373,0.980033068063182,4,1.271965119403,0.000141818764028866,0,13.6053468717205,0.695629481036721,3.10717907854494,0.135908685997977,0.3634616459915,0.07391480793181,10.9661696036314,237.989613122834,0.0265348414590406,0,2545.61323184904,130.154977163579,581.365271363219,25.429042909504,68.0050853557247,13.8297475893021,2051.81291656216,36.6900653564369,2.47835419227439,0,3.90905403012275,18.3209960566027,1.38343951899685,0.0824162767006727,9.03973835379282,0.324304186687527,51.68934854942,0.48,1e-05,1e-04,15.5922179830324,8.5110028890575,3.8598280105089,9.5255816721006,1.33152279437088,52.5710924762106,10.691037819257,123.917716521035
0.48,1e-04,"LAC",0.025,0.823676456042974,0.975041319414734,4,1.27192874175681,0.000178181003884962,6.07979059993337e-17,13.6053462806301,0.69562945623848,3.1071790106177,0.135908688148987,0.363461629921337,0.0739148083789192,10.9661690505324,236.770653386974,0.0331685505059968,1.13175836471305e-14,2532.6471701327,129.492034782796,578.404104241013,25.2995217716016,67.6587019165133,13.7593065557095,2041.36200873982,36.5021423971585,3.0979426172601,4.88549484837529e-17,3.88914300846827,18.2276772153199,1.37639291167237,0.0819964944625677,8.99369443600174,0.322652359153975,51.4260688315191,0.48,1e-05,1e-04,15.5922222214073,8.51100478467667,3.85982813839496,9.52558299522142,1.33152290900321,52.5710901518221,10.6910378839269,123.917710271017
0.48,1e-04,"LAC",0.03,0.81945962481509,0.970049572164924,4,1.27189201106553,0.000214917492899354,6.72349777253854e-19,13.6053464321776,0.695629465519253,3.10717898707335,0.135908685243409,0.363461637142082,0.073914800440282,10.9661692340633,235.551697943633,0.039802263030036,1.24517750144127e-16,2519.6812507109,128.829098946389,575.442946297583,25.1699997294208,67.3123229184112,13.6888639879791,2030.91124132218,36.3142200996434,3.71753136700537,5.37509458710379e-19,3.86923269121145,18.1343604043532,1.36934642620829,0.0815767103361029,8.94765171377386,0.321000517357711,51.1627924150263,0.48,1e-05,1e-04,15.5922223173295,8.5110043934523,3.85982794630471,9.52558267884628,1.33152236800063,52.5710911962308,10.6910367356824,123.917712344916
0.48,1e-04,"LAC",0.035,0.815242793573059,0.965057824898369,4,1.27185489880855,0.000252034014255902,5.07820962317616e-20,13.6053466256862,0.695629473130942,3.1071790129209,0.135908684498986,0.363461640753278,0.0739148006526039,10.9661694126642,234.332742203683,0.0464359745317755,9.35634078697786e-18,2506.71533868785,128.166162782547,572.481797489299,25.0404780905253,66.9659432403431,13.618422936916,2020.46047261133,36.1262977564012,4.33712002126783,4.03887942831017e-20,3.84932221293051,18.0410440149691,1.36230000143828,0.0811569255538829,8.90160820667015,0.319348686211827,50.8995165376625,0.48,1e-05,1e-04,15.592220639993,8.51100369186639,3.85982836032327,9.52558198727779,1.33152254234121,52.5710917185541,10.6910367663926,123.917714363105
0.48,1e-04,"LAC",0.04,0.811025962486797,0.960066077816206,4,1.27181739978428,0.000289536498600745,3.74882366578212e-19,13.6053468240463,0.695629480449557,3.10717903943867,0.135908686119663,0.363461644668339,0.0739148018577691,10.9661695927275,233.113786353455,0.0530696855443161,6.87128890711934e-17,2493.74942766418,127.503226574969,569.520648863977,24.9109568913365,66.6195636238832,13.5479820700303,2010.00970421417,35.9383753961576,4.95670862983912,2.96614977558036e-19,3.82941176336694,17.9477276358653,1.35525357225163,0.0807371447755903,8.85556493325047,0.317696867474567,50.6362404548395,0.48,1e-05,1e-04,15.5922188825326,8.51100290421502,3.85982797555219,9.52558191412998,1.33152265545523,52.5710922848285,10.6910369407077,123.917716397821
0.48,1e-04,"LAC",0.045,0.806809131040936,0.955074330308363,4,1.27177950690693,0.000327430999960171,4.49065498823395e-18,13.6053469513045,0.695629481006613,3.10717911623519,0.13590868701494,0.363461655141846,0.0739148054453416,10.9661696468964,231.894830058574,0.059703396445143,8.18820927442738e-16,2480.7835021921,126.840289064013,566.559509103365,24.7814355457451,66.2731851662826,13.477541629246,1999.55891162715,35.7504529673634,5.57629722797636,3.5346288324426e-18,3.80950134573714,17.8544111874165,1.34820717190863,0.0803173625443569,8.80952157004909,0.316045049981934,50.3729631269519,0.48,1e-05,1e-04,15.5922166692213,8.51100229557937,3.8598278930581,9.52558192987311,1.33152269006802,52.5710937997166,10.6910374596142,123.917717009929
0.48,1e-04,"LAC",0.05,0.802591878195609,0.950082083961579,4,1.27174119548372,0.000365727513534908,1.28022022209628e-17,13.6053461611063,0.695629422835874,3.10717932702404,0.135908685285692,0.363461681479391,0.0739148178793922,10.9661686038336,230.675748953615,0.0663377646310489,2.32213723677713e-15,2467.81611434128,126.177274650446,563.598097584496,24.6519007789579,65.9267749514934,13.4070957468776,1989.10687553749,35.5625112970156,6.19594721653997,1.00240388601578e-17,3.78958828067515,17.7610823948323,1.34116000220434,0.0798975343898327,8.76347321473384,0.314393077235826,50.1096522056933,0.48,1e-05,1e-04,15.5922202866213,8.51100329292346,3.85982857276109,9.52558277226243,1.33152293403845,52.5710976091791,10.6910392580753,123.91770522332
0.48,1e-04,"LAC",0.055,0.798375469172408,0.9450908365039,4,1.27170251636228,0.000404420895498717,1.24596784984023e-16,13.6053469416427,0.695629485926209,3.10717905052605,0.135908687183956,0.363461646189959,0.0739148021824764,10.9661697043251,229.456917051553,0.0729708172142425,2.24813537671924e-14,2454.85160599995,125.514414886409,560.637190292209,24.5223925882919,65.5804228804972,13.3366588608958,1978.65731949354,35.3746080454478,6.81547432781025,9.70459323061458e-17,3.76968014961423,17.6677770435066,1.3341141756992,0.0794777970027228,8.71743470748468,0.312741391478609,49.8464100208295,0.48,1e-05,1e-04,15.592217463706,8.51100262867508,3.85982779384408,9.52558184607867,1.33152276026633,52.5710925049157,10.6910369876734,123.917717658874
0.48,1e-04,"LAC",0.06,0.794158636191609,0.940099087179047,4,1.2716634108376,0.000443529069305285,5.01451228824701e-19,13.605346985676,0.695629484384114,3.10717910128428,0.135908688371728,0.363461651399136,0.0739148045753854,10.9661696968841,228.237960490296,0.079604531618725,9.0000392224007e-17,2441.88566039513,124.851476750574,557.676044550253,24.3928712444773,65.2340433205779,13.2662181694864,1968.20651178346,35.1866855755873,7.43506325318891,3.88507390002665e-19,3.74976965861888,17.5744601381058,1.32706773034987,0.0790580139036798,8.67139117301274,0.31108956722124,49.5831324648024,0.48,1e-05,1e-04,15.5922166446461,8.51100238106086,3.8598279868948,9.52558216682366,1.33152269733439,52.5710932583711,10.6910373337837,123.917717574791
0.48,1e-04,"LAC",0.065,0.78994180699106,0.935107342329131,4,1.27162388082934,0.00048305472367089,1.57372787704724e-18,13.605346822374,0.695629477772994,3.10717909211054,0.135908688873683,0.363461653597493,0.0739148004147228,10.9661695355866,227.019003769181,0.0862382374120259,2.80952678096959e-16,2428.919689315,124.188538307024,554.71489066666,24.2633498920738,64.8876635237362,13.1957763666757,1957.75568598882,34.998763081082,8.05465137428322,1.21279682860892e-18,3.72985891891531,17.4811427507233,1.32002123474019,0.0786382315868349,8.62534806694359,0.309437733400743,49.3198543604532,0.48,1e-05,1e-04,15.5922175343498,8.51100307414261,3.85982792301346,9.52558225507186,1.33152295081773,52.5710935763413,10.6910367319855,123.917715752128
0.48,1e-04,"LAC",0.07,0.78572497503345,0.930115594215496,4,1.27158391128447,0.000523004621348934,2.69433596358778e-18,13.6053457928975,0.695629430007602,3.10717902204558,0.13590868186138,0.363461641267326,0.0739148037608671,10.9661685313649,225.800043550006,0.0928719412297001,4.78443595045112e-16,2415.95355625876,123.525592134708,551.753724051797,24.1338271196938,64.5412809163473,13.1253358587518,1947.30470398737,34.8108400472927,8.67423931085398,2.06531149623522e-18,3.70994771051228,17.3878221435418,1.31297454369797,0.0782184425799085,8.57930393465384,0.307785906531959,49.0565723647595,0.48,1e-05,1e-04,15.5922268253219,8.51100589640938,3.85982852959395,9.52558278475857,1.33152256143489,52.571091792906,10.6910372159718,123.917704404424
0.48,1e-04,"LAC",0.075,0.78150814404897,0.92512384725382,4,1.27154354826708,0.000563385713359138,7.68480382930229e-18,13.6053466955484,0.695629464347286,3.1071791577136,0.135908687672777,0.363461659282402,0.0739148069991964,10.9661693358064,224.581090297304,0.0995056582502071,1.35729651183217e-15,2402.98776941086,122.862660707889,548.792594590562,24.004306655502,64.1949037719973,13.0548953416636,1936.85404575933,34.6229180875011,9.29382848056935,5.85908238857705e-18,3.6900377582498,17.2945081564379,1.30592829310687,0.0777986638516589,8.53326084345241,0.306134090745465,48.7932991206977,0.48,1e-05,1e-04,15.5922182316483,8.51100274895199,3.85982823853306,9.52558237380627,1.33152284517883,52.5710943986066,10.6910376843638,123.917713494612
0.48,1e-04,"LAC",0.08,0.777291312951519,0.920132100158413,4,1.2715027271826,0.000604204908056062,1.8791318757806e-18,13.6053465820932,0.695629470399923,3.10717900818444,0.135908687163174,0.363461640581339,0.0739147980911828,10.966169369448,223.362133476703,0.106139369138071,3.30103031543208e-16,2390.02180199798,122.199724228733,545.83141469144,23.8747850663673,63.8485201341859,12.9844526827943,1926.4032503133,34.4349955776583,9.91341707749579,1.42496555508882e-18,3.67012707867514,17.2011905534512,1.29888169771834,0.0773788807749616,8.48721748804969,0.304482246222564,48.5300232747163,0.48,1e-05,1e-04,15.5922211025878,8.51100366066769,3.85982817257246,9.52558254076928,1.33152266047465,52.5710916936848,10.6910363959087,123.917713874762
0.48,1e-04,"LAC",0.085,0.773074481361647,0.915140352480094,4,1.27146147168845,0.000645469437389976,6.31338177053727e-17,13.6053470563891,0.695629491639628,3.10717904453174,0.135908687835254,0.363461646295151,0.073914802281623,10.9661698301994,222.143178422091,0.112773084823181,1.10304144036454e-14,2377.05593597608,121.536790314033,542.870267206909,23.7452636695366,63.5021407572111,12.914012321172,1915.95252820516,34.2470733400724,10.5330061224851,4.76153199441865e-17,3.65021681797381,17.1078749924381,1.29183531465805,0.0769591006563953,8.44117422681104,0.302830438628546,48.2667487275296,0.48,1e-05,1e-04,15.5922172796641,8.51100221305218,3.85982734307465,9.52558181988804,1.33152274048496,52.5710925201306,10.6910370020139,123.917719081253
0.48,1e-04,"LAC",0.09,0.768857650138741,0.910148605236177,4,1.27141975122226,0.000687186552507753,3.77730441359388e-17,13.6053468886949,0.695629471468297,3.10717918713534,0.135908688935451,0.36346166345992,0.0739148083313931,10.9661695073836,220.924221311829,0.11940679218078,6.56351323336553e-15,2364.08995862515,120.873849220884,539.90913837408,23.6157423570867,63.1557633892285,12.8435722807735,1905.50166997424,34.0591507855737,11.1525943896849,2.83329143191661e-17,3.63030620186942,17.0145576582982,1.28478890705779,0.0765393163459505,8.39513064330416,0.301178617425119,48.0034689138759,0.48,1e-05,1e-04,15.5922164827592,8.51100203171319,3.85982797134303,9.52558231867704,1.33152288237539,52.5710950028428,10.6910378770527,123.917715433435
0.48,1e-04,"LAC",0.095,0.764640397615632,0.905156359270823,4,1.27137755664747,0.000729367991154768,1.72017871085191e-18,13.6053461869702,0.695629426095933,3.10717931214081,0.135908686414466,0.363461678355937,0.0739148171565649,10.9661686451918,219.705140738199,0.126041156152821,2.9726189815648e-16,2351.12259389132,120.210837577667,536.947710381841,23.4862074763789,62.8093509898851,12.7731256707439,1895.04967501858,33.871209197139,11.7722439846735,1.28319927520832e-18,3.61039323452343,16.9212292559936,1.2777417005779,0.0761194882381244,8.34908227479503,0.29952663755995,47.740159917167,0.48,1e-05,1e-04,15.5922202773916,8.51100346887985,3.85982854783144,9.52558294353026,1.33152296399514,52.5710971574028,10.6910391535256,123.917705690668
0.48,1e-04,"LAC",0.1,0.760423566149043,0.900164611738443,4,1.27133490934405,0.000772013062076577,1.14520977115673e-17,13.6053461206933,0.695629421386141,3.10717932727895,0.135908685919166,0.363461681229566,0.0739148174080564,10.9661685605979,218.486183770497,0.132674865225808,1.96810856586811e-15,2338.15663436847,119.547899204274,533.986558945374,23.3566858815059,62.4629710825996,12.7026846040998,1884.59885886816,33.6832866646183,12.3918324120905,8.49579275169273e-18,3.59048264655617,16.8279120737566,1.27069522634214,0.0756997047773202,8.30303887024765,0.297874810821045,47.4768823255472,0.48,1e-05,1e-04,15.5922204275601,8.51100355155977,3.85982860352384,9.52558295129403,1.33152296661103,52.5710975730444,10.6910391899013,123.917704734757
0.48,1e-04,"LAC",0.105,0.756207156471814,0.895173363506548,4,1.27129178502631,0.000815129415966197,9.35250957009093e-17,13.6053457221235,0.695629447255779,3.10717880334734,0.135908683711281,0.363461608947638,0.073914791696796,10.9661686807163,217.267347750963,0.139307913703778,1.5983702349395e-14,2325.19191510351,118.885032376422,531.025611541505,23.2271769503044,62.1166129723059,12.6322461457544,1874.14912320825,33.4953827782735,13.0113591399329,6.8997314295321e-17,3.57057356506187,16.7346028702654,1.26364908081483,0.0752799620858735,8.25699973493161,0.296223094460474,47.2136358662673,0.48,1e-05,1e-04,15.5922291364727,8.51100776929345,3.85982875134306,9.52558283030744,1.33152283123544,52.5710871181864,10.6910354710246,123.917706092094
0.48,1e-04,"LAC",0.11,0.75198990369648,0.890181117242618,4,1.2712481846125,0.000858738026137487,1.2531342043597e-17,13.6053461323598,0.69562942165765,3.10717932902187,0.135908686505539,0.363461680431739,0.0739148182221541,10.9661685709337,216.048270782164,0.145942285580093,2.12969804942079e-15,2312.22474168969,118.222024206975,528.064251474139,23.0976429773603,61.7702101787407,12.5618025302762,1863.69725875214,33.3074417455837,13.6310094731807,9.19333088968223e-18,3.55066150118338,16.6412780493695,1.25660227406535,0.0748601393012446,8.21095195713168,0.294571160200479,46.9503285515353,0.48,1e-05,1e-04,15.5922203470614,8.51100347276729,3.85982854216721,9.52558296129512,1.33152305792596,52.5710974576468,10.6910393076524,123.917704851551
0.48,1e-04,"LAC",0.115,0.747773089867069,0.885189390588553,4,1.27120408848757,0.00090283391097694,1.02755487478551e-18,13.6053461292427,0.695629420290967,3.10717933275074,0.135908686792086,0.363461680861211,0.0739148187963446,10.9661685631442,214.8293192566,0.152575968134047,1.73653401722151e-16,2299.25884731311,117.559089189032,525.103110435398,22.9681220576783,61.4238312969658,12.4913618110574,1853.24649960519,33.1195200520592,14.25059542372,7.49614800608925e-19,3.53075103780663,16.5479613404322,1.24955582332213,0.0744403585855734,8.16490873329675,0.292919343201261,46.6870526511053,0.48,1e-05,1e-04,15.5922204961233,8.51100326952376,3.85982841069785,9.52558311673592,1.33152299081606,52.5710975197656,10.6910393907033,123.917704763529
0.48,1e-04,"LAC",0.12,0.743556260966054,0.880197646093216,4,1.27115949419744,0.000947430118743989,3.87157275635996e-17,13.6053462153292,0.695629431600913,3.10717927866993,0.135908683892218,0.363461672093638,0.0739148201386592,10.9661687116995,213.610363734911,0.159209676836099,6.50593468787614e-15,2286.29292159026,116.89615393448,522.141949091377,22.8386001390635,61.07744963085,12.4209209680552,1842.79572939309,32.9315977424654,14.8701838164916,2.80843617452928e-17,3.5108405567244,16.454644696643,1.24250933987766,0.0740205742077844,8.11886505234965,0.291267520178302,46.4237771432666,0.48,1e-05,1e-04,15.5922202373531,8.51100381116116,3.85982842194621,9.52558235744852,1.33152289557729,52.5710962516239,10.6910395848557,123.917706442204
