"","phi","mu","convergence","f.TS","f.ATPS","f.EAA","f.ENT","f.ADPS","f.RNAP","f.DNAP","f.GFP","f.R","v.TS","v.ATPS","v.EAA","v.ENT","v.ADPS","v.RNAP","v.DNAP","v.GFP","v.R","p.TS","p.ATPS","p.EAA","p.ENT","p.ADPS","p.RNAP","p.DNAP","p.GFP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,1.13053881470117,4,1.24540732131796,12.2703661129953,0.586903170949366,3.62396848651211,0.138698276458168,0.404962111745448,0.117975941779232,2.71821520860803e-17,9.03272772081164,318.203777611028,3135.10028646172,149.954800241856,925.930370419805,35.4376554253932,103.468537193417,30.1430621924103,6.94508802809582e-15,2307.87793976708,6.91747342632669,4.499251022248,19.7045002001265,2.34845015892072,0.113688408422962,13.3712131040259,0.631683302438883,6.94508802809582e-16,54.483563622662,10,1e-05,17.8784265856112,10.1563287403508,6.08339623470627,12.4718068633024,1.7024580561683,58.5737198428616,17.0640402189481,102.069823245172
"2",0.01,1.11923342713687,4,1.24540731863724,12.270365932827,0.586903158169516,3.62396852840335,0.138698276256542,0.4049621146495,0.117975945809281,0.04035229471774,9.03272748824571,315.021739320851,3103.74923964005,148.455249084108,916.671077789116,35.0832788384043,102.433852609385,29.8416326054109,10.2069819868087,2284.79910273216,6.84829868088807,4.4542584359832,19.5074546094408,2.32496566002069,0.112551523637509,13.237500827443,0.625366479416628,1.02069819868087,53.9387262016657,10,1e-05,17.8784275600338,10.1563290056988,6.08339651197685,12.4718072772134,1.70245795878034,58.5737202629037,17.0640408018544,102.069820617177
"3",0.02,1.1079280390434,4,1.2454072883948,12.2703645290842,0.586903048101055,3.62396893637341,0.138698276580368,0.404962152348258,0.117975977908871,0.0815280844934552,9.03272559882743,311.839693994204,3072.39788589865,146.95567356121,907.411876174069,34.7289023674273,101.399176674388,29.5402100120895,20.4139586762345,2261.71985094328,6.7791237824827,4.40926499703098,19.3104049935978,2.30148127655843,0.111414636270465,13.1037881027244,0.619049728981229,2.04139586762345,53.3938758814805,10,1e-05,17.8784332114074,10.1563297507385,6.08339818259985,12.4718092510938,1.70245868278452,58.5737257156521,17.0640454447391,102.06979926675
"4",0.03,1.09662265023485,4,1.24540731852366,12.2703659174382,0.586903157372222,3.62396853355496,0.13869827751262,0.404962114939658,0.117975946181182,0.123552905359485,9.03272747004749,308.657663583054,3041.04722933152,145.456152866333,898.152470945451,34.3745260231709,100.364481866943,29.2387714169289,30.6209466814146,2238.64153937389,6.70994920832725,4.3642731809355,19.1133645578863,2.27799666330236,0.110277756869211,12.9700766071215,0.612732816492181,3.06209466814146,52.8490549524609,10,1e-05,17.8784276919449,10.1563290722782,6.08339629968783,12.4718066172299,1.70245878633243,58.5737203048722,17.0640408556462,102.069820411537
"5",0.04,1.08531726260804,4,1.24540732175326,12.2703660875525,0.586903173973235,3.62396843818918,0.138698272690642,0.404962109589563,0.117975942086536,0.166453221713397,9.03272774691834,305.475626752661,3009.69627013509,143.956609039528,888.893144155635,34.0201482997863,99.3297952221774,28.937339793286,40.827929416954,2215.56282959022,6.64077449462306,4.31928095539936,18.9163200362543,2.25451209990411,0.109140870851238,12.8363647018738,0.606415980913232,4.0827929416954,52.3042214586628,10,1e-05,17.8784280978723,10.1563290697383,6.08339542895988,12.4718061662797,1.7024579030415,58.5737195310344,17.0640402633966,102.069823540177
"6",0.05,1.07401187451191,4,1.24540731803575,12.2703659242814,0.586903156399906,3.62396854264883,0.138698276759494,0.404962115905927,0.11797594680103,0.210256693456476,9.03272746506259,302.293588087422,2978.34522784632,142.457056770617,879.633865971721,33.6657727443723,98.2951113935586,28.6359103162668,51.034909915738,2192.48398181581,6.57159974103091,4.27428835705532,18.7192745988997,2.23102766654427,0.108003987739972,12.7026523090006,0.600099150090093,5.1034909915738,51.7593835532725,10,1e-05,17.8784273829595,10.15632892013,6.08339650192272,12.4718072188581,1.70245812931712,58.5737204446333,17.064040945301,102.069820355207
"7",0.06,1.06270649339152,4,1.24540731455061,12.2703658606282,0.586903152937865,3.62396853344398,0.138698276271075,0.404962114763279,0.117975946682039,0.254992126373561,9.03272740818645,299.11155146039,2946.9942296617,140.957508905899,870.374565668264,33.3113962922988,97.2604263796484,28.3344798402812,61.2418841921618,2169.40520375565,6.5024250317476,4.22929583939962,18.522229557083,2.20754316691154,0.106867103988829,12.5689402320483,0.59378232049348,6.12418841921618,51.2145480416184,10,1e-05,17.8784277328673,10.1563289089491,6.0833965021799,12.4718072008005,1.70245813364362,58.5737202793607,17.0640409280901,102.069819712507
"8",0.07,1.05140110289812,4,1.24540731536627,12.2703657322821,0.586903149323804,3.62396850668904,0.138698274764446,0.404962110815474,0.117975945194211,0.300689657967018,9.03272730041382,295.929513234968,2915.64319043793,139.457959779515,861.115253565007,32.9570193069736,96.2257398471948,28.033048789737,71.4488689917474,2146.32639475827,6.43325028771669,4.18430330223867,18.3251841090041,2.18405860560457,0.10573021767891,12.4352279155622,0.587465476811071,7.14488689917474,50.6697116808852,10,1e-05,17.8784295233433,10.1563295535682,6.08339692227405,12.4718074746618,1.70245777309861,58.5737197083501,17.0640407128907,102.069818494676
"9",0.08,1.04009570754753,4,1.24540730965868,12.2703654763853,0.586903130227713,3.6239685771833,0.138698276703358,0.404962114402409,0.11797595267779,0.347380616828476,9.03272695977584,292.747472104894,2884.29210841826,137.958406388108,851.855960479899,32.602642987009,95.1910546615058,27.731619726124,81.6558539893636,2123.24752165844,6.36407548054117,4.13931052622275,18.1281382613657,2.16057411050801,0.104593334187612,12.3015154855865,0.581148661183564,8.16558539893636,50.1248733869353,10,1e-05,17.8784303836235,10.1563298569028,6.08339700916699,12.4718078693387,1.70245824262183,58.5737202271645,17.0640417953156,102.069814645467
"10",0.09,1.0287903221546,4,1.24540731233299,12.2703655754883,0.586903128672616,3.62396865398574,0.138698277285795,0.404962125812683,0.117975955654409,0.395097724000536,9.03272698551961,289.565435755537,2852.94113785965,136.458858493465,842.596676656747,32.2482666538778,94.1563721878044,27.4301898418684,91.8628335350955,2100.168755813,6.29490077729428,4.09431807232584,17.931093514767,2.13708969009677,0.103456450997935,12.1678036353704,0.574831839190658,9.18628335350955,49.5800376028191,10,1e-05,17.8784289561611,10.1563291563654,6.08339692399531,12.4718076866157,1.70245842313982,58.5737218775465,17.0640422258538,102.069814936372
"11",0.1,1.01748493314161,4,1.24540731300518,12.2703655683969,0.586903142285535,3.62396848946259,0.138698281068793,0.404962103930433,0.117975942775169,0.44387523376337,9.03272714236294,286.383397913216,2821.59013233627,134.959313614514,833.337333983045,31.8938909402711,93.121681668815,27.1287561998021,102.069817936061,2077.0900125926,6.22572604159165,4.04932550412486,17.7340486368648,2.11360504741715,0.102319569749678,12.0340913766332,0.56851496826614,10.2069817936061,49.0352037704477,10,1e-05,17.8784307457009,10.1563301060895,6.08339686051031,12.4718084911609,1.70245838235564,58.5737187124979,17.0640403630004,102.069816708701
"12",0.11,1.00617954662708,4,1.24540729243739,12.2703646660488,0.586903072722773,3.62396875364466,0.138698276535907,0.404962128510915,0.117975967364058,0.493748776428089,9.03272592845264,283.201355940781,2790.23893019926,133.45975008353,824.078091682433,31.5395133946455,92.0870020557724,26.8273312102885,112.276781923184,2054.01096196636,6.15655121610393,4.00433258840882,17.5370010678903,2.09012063179075,0.101182680070407,11.9003787340834,0.562198193952303,11.2276781923184,48.4903596868966,10,1e-05,17.8784340708224,10.1563308455289,6.08339811664302,12.4718092052547,1.70245838319067,58.5737222678187,17.0640439195373,102.069802991515
"13",0.12,0.994868504372366,4,1.24540731621417,12.2703658139436,0.586903150607312,3.62396854662185,0.138698277669111,0.404962115379293,0.117975947488504,0.54478176914094,9.03272734809868,280.017732167706,2758.87250970489,131.959469882285,814.814109938661,31.1849598623942,91.0517962164,26.5257453011349,122.488886595655,2030.92096406862,6.08734200364579,3.95931805134224,17.3398607835899,2.06662440077634,0.100045231482229,11.7666005153632,0.555878162078435,12.2488886595655,47.9452612256714,10,1e-05,17.8784282940675,10.1563291970345,6.08339643060126,12.4718067670656,1.70245884989707,58.573720368461,17.0640410447372,102.069819033515
"14",0.13,0.98356311661987,4,1.24540731588546,12.2703657937118,0.586903149612092,3.6239685407638,0.138698276514256,0.404962113773254,0.117975947742228,0.59696205359819,9.03272732927804,276.835694442608,2727.52150420115,130.459921762946,805.554805101836,30.8305830607054,90.0171105142889,26.2243147315415,132.695867894628,2007.84218224505,6.01816727049147,3.91432574361717,17.1428157447585,2.043139885961,0.09890834601308,11.6328882648614,0.549561326522846,13.2695867894628,47.4004254491535,10,1e-05,17.8784284504517,10.1563292273227,6.08339674567685,12.4718075553406,1.70245798530338,58.5737201361634,17.0640410814359,102.069818820842
"15",0.14,0.972257728501021,4,1.24540731576062,12.2703657863375,0.586903148520198,3.62396854888754,0.138698276327439,0.404962115333651,0.117975947780883,0.650355841710719,9.03272731331529,273.653656660875,2696.17050061006,128.960373578858,796.295503067122,30.4762064661416,88.9824254826176,25.9228841036264,142.902849503662,1984.76340039775,5.94899253610597,3.86933323768148,16.9457707260004,2.01965538957803,0.097771461755212,11.499176173753,0.543244493182038,14.2902849503662,46.8555896720406,10,1e-05,17.8784284262845,10.1563291970094,6.0833967753452,12.4718075506941,1.70245796897393,58.5737203618592,17.064041087027,102.069818640463
"16",0.15,0.960952340302156,4,1.24540731575357,12.270365786803,0.586903148477295,3.62396855071602,0.138698276436818,0.404962115404226,0.117975947924236,0.705005962909267,9.0327273117635,270.471618882836,2664.81949853735,127.460825617551,787.036199558186,30.1218299343508,87.9477401120969,25.6214534961181,153.109831376527,1961.68462159838,5.87981780180079,3.82434073319847,16.7487257422018,1.99617088973993,0.096634577744732,11.3654640403467,0.536927660339344,15.3109831376527,46.3107540399031,10,1e-05,17.8784283644791,10.1563292083557,6.08339678079295,12.4718075867401,1.70245796083339,58.5737203720672,17.0640411077615,102.069818622928
"17",0.16,0.949646952816886,4,1.2454073155996,12.2703657743976,0.58690314714585,3.62396855415244,0.138698276605405,0.404962115842742,0.117975948298861,0.760957280630122,9.03272729579497,267.289581274154,2633.46849567879,125.961277474567,777.776896969449,29.7674534370766,86.9130548854926,25.3200229565392,163.316812386974,1938.60584116954,5.81064307117726,3.77934818409245,16.5516806938155,1.97268638869575,0.0954976939907382,11.2317519341783,0.530610829328342,16.3316812386974,45.7659184085075,10,1e-05,17.878428569828,10.1563291239822,6.08339670648211,12.4718074859785,1.70245809903765,58.5737204354943,17.0640411619472,102.069818442483
"18",0.17,0.938341563988436,4,1.2454073155709,12.2703657773156,0.586903147925809,3.62396855249589,0.13869827675106,0.404962115493594,0.117975948034565,0.818256839149561,9.03272730046937,264.107543314769,2602.1174924084,124.461729607983,768.517592183022,29.4130768919746,85.8783693666813,25.0185922437405,173.523794895354,1915.52706245798,5.74146833292976,3.73435567666933,16.3546357366805,1.9492018875332,0.0943608098837628,11.0980397906702,0.524293994707257,17.3523794895354,45.2210827766945,10,1e-05,17.8784284133337,10.156329236868,6.08339674107015,12.4718074986276,1.70245811164158,58.5737203849934,17.0640411237195,102.069818495304
"19",0.18,0.927036175903543,4,1.24540731613199,12.2703658045898,0.586903148909874,3.62396855713951,0.138698276686596,0.40496211619097,0.11797594819986,0.876953954635276,9.03272732375432,260.925505688381,2570.76649628795,122.962181878801,759.258289333995,29.0587003254135,84.8436841369631,24.7171616421211,183.730777163978,1892.44828913954,5.67229360192133,3.68936321399208,16.157590814595,1.92571739262482,0.0932239257372056,10.9643276720791,0.517977161828267,18.3730777163978,44.6762472592482,10,1e-05,17.8784281381634,10.1563291435228,6.08339676007223,12.4718075851969,1.7024579902164,58.5737204858618,17.0640411476277,102.069818758424
"20",0.19,0.915730787632472,4,1.24540731584717,12.2703657923759,0.586903147236861,3.62396857076082,0.138698277271242,0.404962117429385,0.117975949248457,0.937100386565226,9.03272729754848,257.743467831657,2539.41549133956,121.46263357,749.998988166736,28.7043238876826,83.8089989986128,24.415731217497,193.937758568096,1869.36950507967,5.60311886590559,3.6443706543759,15.9605457874862,1.90223290021514,0.0920870421509704,10.8306155509496,0.511660331980686,19.3937758568096,44.1314114724242,10,1e-05,17.8784280536594,10.1563291207732,6.08339669597665,12.4718074919554,1.70245821097541,58.5737206649862,17.0640412992968,102.069818462298
"21",0.2,0.406981167674287,-1,1.33000940298129,16.3495238966822,0.919227816497096,1.77361988719006,0.119334700047148,0.174359102786261,0.0362734921164031,3.45525479533073,15.2271340478631,122.331264244542,1503.79232176423,84.5485006863683,163.133555749962,10.9761364786503,16.0371569017302,3.33635396803766,317.80654065479,1400.55743569988,2.65937530966396,-5.89419395260498,10.924269477784,0.595367407438062,0.0468116055668708,5.18751105415619,0.175006147210673,31.780654065479,126.591813626159,10,1e-05,19.9106952340919,1.26554883932055,1.5866292972835,1.43562478439932,-0.0487343619010367,25.2193006270048,5.24659789971654,172.066614740853
"22",0.21,0.893125664064615,4,1.24540732675516,12.2703663326732,0.586903186442825,3.62396844220523,0.138698277372188,0.404962107678004,0.11797593760832,1.06192944371184,9.03272799622233,251.380985537045,2476.72927189577,118.464295378145,731.484984057589,27.9957479846797,81.7401436030487,23.8130183021372,214.346635350709,1823.22362892669,5.46480403341401,3.55440839808638,15.5665557189777,1.85527562289769,0.0898138437155616,10.5632584476867,0.499029800808228,21.4346635350709,43.0420169566551,10,1e-05,17.8784255888373,10.1563285073037,6.08339598746911,12.4718066221381,1.7024580897088,58.5737192545465,17.0640396156674,102.069826357312
"23",0.22,0.881820275868852,4,1.24540732184269,12.2703660921388,0.58690318159857,3.62396835030605,0.138698276337258,0.404962094647339,0.117975932570083,1.12676028150753,9.03272783888224,248.198946754308,2445.37822039825,116.964746364256,722.225662111953,27.6413712203097,80.7054556401459,23.5115866854929,224.553614074609,1800.1448173693,5.39562927726757,3.50941572532347,15.3695101787929,1.83179102591448,0.0886769583228202,10.4295460799253,0.492712951573178,22.4553614074609,42.4971809747888,10,1e-05,17.8784284556112,10.1563295460337,6.08339635878407,12.4718067123571,1.70245809109724,58.5737173697911,17.0640388869369,102.069824579369
"24",0.23,0.870509235127604,4,1.24540731416436,12.2703657061226,0.586903141865153,3.62396856854275,0.138698277117424,0.404962116014317,0.117975949302525,1.19330866178132,9.03272720842734,245.015316475472,2414.01146641944,115.464440756899,712.961772120669,27.2868176347032,79.670257182005,23.2100086663195,234.765683559079,1777.05437445131,5.32641992337983,3.46440060804472,15.1723655692248,1.80829487583362,0.0875395053254883,10.29576695182,0.486392997018927,23.4765683559079,41.9520686686737,10,1e-05,17.8784288833864,10.1563291152499,6.08339694308146,12.4718078026864,1.70245804241119,58.5737204603108,17.0640413071172,102.069817455229
"25",0.24,0.859209499544642,4,1.24540731835219,12.2703659163613,0.586903164550525,3.62396844393117,0.138698277463422,0.404962103503342,0.117975940186733,1.26154018034054,9.03272755737358,241.83487051312,2382.67618055917,113.965646990585,703.707073555103,26.9326183301535,78.6360867005574,22.9087269669103,244.967571383323,1753.98720324526,5.25727979376348,3.4194306372458,14.9754197162434,1.78482206379628,0.0864031907893851,10.162121777972,0.480079304589199,24.4967571383323,41.4075077755897,10,1e-05,17.8784286205655,10.156329510433,6.08339640171411,12.4718072719515,1.70245816332431,58.5737186507234,17.0640399886091,102.069821398321
"26",0.25,0.847904111362437,4,1.24540731837555,12.2703659181015,0.58690316664439,3.62396842017201,0.138698277215496,0.404962100919666,0.117975938048731,1.3316257499728,9.03272758381033,238.652832739159,2351.32517843283,112.466099401087,694.447765377995,26.5782417247188,77.6014008513605,22.6072959384191,255.174554292753,1730.9084292593,5.18810505954692,3.37443812260366,14.7783747390846,1.76133754804988,0.0852663063769453,10.0284096364917,0.473762465465236,25.5174554292753,40.8626723901624,10,1e-05,17.878428865069,10.1563296251641,6.08339650462642,12.4718071959385,1.70245815881334,58.5737182770204,17.0640396793684,102.069821697057
"27",0.26,0.836593071013459,4,1.2454073137899,12.2703656831104,0.586903141060536,3.62396857455962,0.138698277418008,0.404962116905037,0.11797594998058,1.40364193092084,9.03272717965223,235.469203223183,2319.95845749988,110.965796863805,685.183861784646,26.2236880339662,76.5662012318074,22.3057168797962,265.386627671866,1707.81803541255,5.1188957222431,3.32942300910474,14.5812305876015,1.73784137690216,0.0841288535817077,9.89463060428785,0.467442500749185,26.5386627671866,40.3175617084134,10,1e-05,17.8784289062958,10.1563293235968,6.08339677897119,12.4718075135168,1.70245838207362,58.5737205891446,17.064041405191,102.06981713007
