"","phi","mu","convergence","f.TS","f.ATPS","f.EAA","f.ENT","f.ADPS","f.RNAP","f.DNAP","f.GFP","f.R","v.TS","v.ATPS","v.EAA","v.ENT","v.ADPS","v.RNAP","v.DNAP","v.GFP","v.R","p.TS","p.ATPS","p.EAA","p.ENT","p.ADPS","p.RNAP","p.DNAP","p.GFP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,1.01645788394086,4,1.24069442461096,12.0347207419252,0.551457309469683,3.58273015374122,0.134215272023203,0.406031264331736,0.114043657456936,4.68736980171399e-17,8.83139385135923,285.011680257345,2764.60981208936,126.680487350004,823.022914241456,30.8318627348748,93.2732916249617,26.198049890235,1.07678016171706e-14,2028.74321884661,8.01102217686752,4.06622840488206,20.7806720969237,2.15175853742866,0.255745210606579,12.2428683785536,0.557627737528797,1.07678016171706e-15,51.7288279775684,10,1e-05,26.6054785212583,4.87565131571722,5.97284900016422,11.9995059831531,1.52813018041035,58.7283620729423,16.4952746145712,99.7947505203593
"2",0.01,1.00629330132483,4,1.24069441126018,12.0347206510706,0.551457304657232,3.5827301357292,0.134215267880757,0.40603126660801,0.114043656275796,0.0438808063434383,8.83139377861025,282.161559359553,2736.96368303427,125.413680911367,814.79267794479,30.5235430508866,92.3405588798334,25.9360690253769,9.9794732945103,2008.45576257566,7.93091177319659,4.02556610985879,20.5728652637034,2.13024095917156,0.253187741548937,12.1204397877623,0.552051455576696,0.99794732945103,51.2115392780265,10,1e-05,26.6054775818508,4.87565121457948,5.97284891542074,11.9995052233482,1.52813012255302,58.7283624021826,16.4952744437311,99.7947496982958
"3",0.02,0.99612872227607,4,1.24069439410297,12.0347197048289,0.551457230570395,3.58273039498367,0.134215267801595,0.406031283475703,0.114043683249502,0.0886571389536704,8.83139251958561,279.31143866643,2709.31737152993,124.146859344025,806.562507038927,30.2152244088823,91.4078297364848,25.6740945962502,19.9589464955252,1988.16804669844,7.85080178871427,3.98490334973407,20.3650548399941,2.10872345440843,0.250630291669985,11.9980101684605,0.546475242230974,1.99589464955252,50.6942416865526,10,1e-05,26.6054824971738,4.87565154332838,5.97285015754202,11.9995068690736,1.52813027587694,58.7283648419256,16.495278345208,99.7947354713174
"4",0.03,0.985964142939483,4,1.24069441306002,12.0347206580029,0.551457304883939,3.58273014039795,0.134215268119908,0.406031267075873,0.114043656329536,0.134356717899979,8.83139378089669,276.461326018691,2681.67148683298,122.88007114894,798.332220210968,29.9069058470797,90.4750930762955,25.4121080267637,29.9384248040057,1967.88089763229,7.77069135091607,3.94424153301169,20.1572517903227,2.0872057872837,0.248072838915488,11.8755824136249,0.54089890033669,2.99384248040057,50.1769626293208,10,1e-05,26.6054777609744,4.87565123481114,5.97284894396657,11.9995052600586,1.52813013208983,58.7283624698542,16.4952744515041,99.7947497241326
"5",0.04,0.975799563988508,4,1.24069439152143,12.0347195913192,0.551457218466665,3.58273047617757,0.134215267375738,0.40603129676819,0.114043684703482,0.181008326557215,8.83139231768314,273.611204461449,2654.0251533649,121.613247214408,790.102065058586,29.5985870612013,89.5423666915719,25.1501337849019,39.9178932260174,1947.59314269951,7.69058129954469,3.90357875275625,19.9494411140288,2.06568833661966,0.245515379283182,11.7531530764843,0.535322687336314,3.99178932260174,49.6596632211645,10,1e-05,26.6054821627059,4.8756515456829,5.97285040755021,11.999507005279,1.5281302999814,58.728366764551,16.4952785555116,99.7947331898195
"6",0.05,0.965634985477368,4,1.24069440834528,12.0347204177656,0.551457292740419,3.5827301096285,0.134215270146583,0.406031259735577,0.114043654316543,0.228642128064622,8.83139355461474,270.761091498463,2626.37923913832,120.346458799893,781.87175544798,29.2902690591771,88.6096256491754,24.8881466004214,49.8973733909822,1927.3059846293,7.61047103989759,3.86291711364474,19.7416376580058,2.04417048874317,0.242957887940538,11.6307248406837,0.529746336643954,4.98973733909822,49.1423844624889,10,1e-05,26.605480064159,4.87565155875887,5.97284927854087,11.9995067993743,1.52812956125601,58.7283614081538,16.4952741603447,99.7947471671465
"7",0.06,0.955470407388855,4,1.24069440989935,12.0347204789536,0.551457295394927,3.58273012993337,0.134215269259235,0.406031263847297,0.114043656231649,0.277289388291735,8.83139360193837,267.910975279383,2598.7331570171,119.079654631612,773.641531399458,28.9819502673053,87.6768937002581,24.6261665416277,59.8768478838306,1907.01856484012,7.53036079240077,3.822254623367,19.5338311672566,2.02265298398056,0.240400487921194,11.5082962717941,0.524170068086476,5.98768478838306,48.6250965187138,10,1e-05,26.6054794565568,4.87565151696914,5.97284898890998,11.9995058925026,1.52813007532245,58.728362002873,16.4952744373458,99.7947477019036
"8",0.07,0.945305826062444,4,1.24069440705285,12.0347203267745,0.551457288032906,3.5827301032371,0.134215267168549,0.406031259965584,0.114043654605724,0.326982835738955,8.83139347215266,265.060857205133,2571.08702022465,117.812847907675,765.411294594649,28.6736311242163,86.7441597276208,24.364185634079,69.8563242000984,1886.73110053352,7.45025066152497,3.78159219542655,19.3260237569235,2.00113537847968,0.237843031150201,11.3858673851948,0.518593779091066,6.98563242000984,48.1078076275243,10,1e-05,26.6054813625401,4.87565161304665,5.97284955979334,11.9995055515912,1.52813015103316,58.7283614414221,16.4952742021719,99.7947462353251
"9",0.08,0.935141234786754,4,1.24069441408275,12.0347207364155,0.551457307626088,3.58273017554695,0.134215269369497,0.406031269914791,0.114043658470353,0.377756642539855,8.83139382613929,262.210738441512,2543.44097580697,116.546045674354,757.181070780734,28.3653125959469,85.8114277828943,24.1022056379537,79.8358137727179,1866.44371920687,7.37014003618055,3.74093010339562,19.1182184161814,1.97961787578912,0.235285570402762,11.2634387909291,0.513017510686619,7.98358137727179,47.590520554537,10,1e-05,26.6054761198651,4.87565124104726,5.97284904543681,11.9995053896119,1.52813018114181,58.7283628804754,16.4952747611519,99.794750235374
"10",0.09,0.924976673339676,4,1.2406944094725,12.0347203985541,0.551457291029448,3.58273010460986,0.134215266042495,0.406031261080731,0.114043657515523,0.429646184529931,8.83139354743023,259.360625576131,2515.79485437505,115.279239503244,748.950840841722,28.0569938067573,84.8786946030791,23.8402253853887,89.815269856385,1846.15626352694,7.2900302770239,3.70026766039274,18.9104101742188,1.95810021485806,0.232728145536287,11.1410101284437,0.507441241100513,8.9815269856385,47.0732322587491,10,1e-05,26.6054814784058,4.87565126950123,5.97284896359016,11.9995051595206,1.52813015657888,58.7283616027169,16.4952746230452,99.7947470859616
