"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,1.01835631240738,4,1.24550421191827,12.2752105953938,0.587325859470741,3.62425534829989,0.138754322473169,0.404792081316256,0.118117454929878,5.04073675191462e-17,9.03746965831199,286.650959252152,2825.12163228454,135.172181193659,834.117028448137,31.9341028771458,93.1623010959309,27.1845582183339,1.16011813645213e-14,2079.96032608948,6.93002319071136,4.51793104264934,19.4904333186087,2.35796916759983,0.114080860341223,13.431390151879,0.633563072243114,1.16011813645213e-15,54.6480163348929,10,1e-05,17.7868729372896,10.1875556736768,6.08949258543477,12.4751480888747,1.70388825550745,58.5491266415833,17.0845086810575,102.123407138926
"2",0.01,1.00817274928151,4,1.24550422524236,12.2752112533762,0.587325884370343,3.62425545111068,0.138754326037529,0.404792095164108,0.118117457946329,0.0448210404510513,9.03747024249385,283.784452694979,2796.87056587604,133.820465054785,825.775881587316,31.6147626604468,92.2306812399993,26.9127133233921,10.2123414564459,2059.16085592903,6.86072303218631,4.47275211987961,19.295530913634,2.33438968411725,0.112940055074271,13.297076623488,0.627227453681885,1.02123414564459,54.1015397124747,10,1e-05,17.7868667129485,10.187553379481,6.08949238325192,12.4751474093884,1.70388865237003,58.5491286445366,17.0845091173571,102.123413740181
"3",0.02,0.997989186153634,4,1.24550422504092,12.2752112526311,0.587325885715304,3.62425545643685,0.138754326830363,0.404792096028318,0.118117459592146,0.0905567951958984,9.03747023607801,280.917943025287,2768.61934786025,132.468743488387,817.434712264396,31.2954218021729,91.2990583917397,26.6408681053715,20.4246827284413,2038.36124986881,6.79142279841353,4.42757278636888,19.1006266705842,2.31081000123044,0.111799248179297,13.1627628043672,0.620891834226906,2.04246827284413,53.555059251467,10,1e-05,17.7868663394516,10.1875537704409,6.0894918655117,12.4751474517794,1.70388877754682,58.5491287695358,17.084509355408,102.123413667682
"4",0.03,0.98780562180159,4,1.24550420359989,12.2752103302226,0.587325813095775,3.62425572327394,0.138754326521527,0.404792118954283,0.118117482699556,0.137235536013279,9.03746899460145,278.051428270327,2740.36792069592,131.117005241174,809.093600295028,30.9760806559202,90.3674403526683,26.3690276382703,30.6370196805811,2017.56136561782,6.72212244170022,4.38239295534902,18.9057193549689,2.28723038307672,0.110658436768263,13.028448342299,0.614556262463215,3.06370196805811,53.008569494313,10,1e-05,17.7868697769293,10.1875541928494,6.08949298975018,12.4751490030517,1.70388893618141,58.5491320855475,17.0845126976638,102.123399638996
"5",0.04,0.977622060155099,4,1.24550421418133,12.2752107092939,0.587325842361424,3.62425561801775,0.138754326669815,0.40479210987136,0.118117473767971,0.184886773996111,9.03746950018293,275.184921450757,2712.11679283548,129.765290198125,800.752407102237,30.6567396969295,89.4358153834549,26.0971800582512,40.849361889029,1996.76187860684,6.65282227683148,4.33721384869389,18.7108161675646,2.26365065398412,0.109517629429384,12.8941346722389,0.60822060941461,4.0849361889029,52.4620933050072,10,1e-05,17.7868687624149,10.1875539512013,6.08949250781538,12.4751483904268,1.70388885745415,58.5491307717936,17.0845114057993,102.123405352067
"6",0.05,0.967438496026122,4,1.24550422043002,12.2752110246321,0.587325876254006,3.62425542008535,0.138754326397269,0.404792091473436,0.118117459000958,0.233541207003277,9.0374700335608,272.318412936384,2683.86564240857,128.41357570249,792.411192097747,30.3373985673975,88.5041881923024,25.825331177211,51.0617064183229,1975.96239027572,6.5835220709895,4.29203469858583,18.5159128805706,2.24007084056047,0.108376822411788,12.759821030342,0.601884942483478,5.10617064183229,51.9156174514612,10,1e-05,17.7868687695506,10.187554378321,6.08949156546899,12.4751478641392,1.70388864851564,58.5491281107178,17.0845092698986,102.123411379237
"7",0.06,0.957254933700652,4,1.24550422519279,12.2752112551166,0.587325888397752,3.62425542644354,0.138754325268788,0.404792092847108,0.118117459846464,0.283230828657647,9.03747027036797,269.451904579443,2655.61447717626,127.061856585104,784.070023677702,30.0180573105025,87.5725655282049,25.5534857898928,61.2740484325565,1955.16283901309,6.51422186895356,4.2468555459689,18.3210092451777,2.21649119838744,0.107236012917008,12.6255071362484,0.595549314293942,6.12740484325565,51.3691388899555,10,1e-05,17.7868668991016,10.1875539117022,6.08949159199218,12.4751472250652,1.7038886358274,58.5491283094057,17.0845093921925,102.123414055158
"8",0.07,0.947071370530203,4,1.24550422112785,12.2752110561199,0.58732587759126,3.6242554189898,0.138754326209002,0.404792090283631,0.118117458792838,0.333989034264303,9.03747006840981,266.585394073263,2627.36321661354,125.710132387435,775.728851580005,29.6987164750844,86.640941937783,25.2816399696399,71.4863882475421,1934.36319102209,6.444921614958,4.20167607512524,18.126104277806,2.19291146164106,0.106095204406307,12.4911931266105,0.589213676863767,7.14863882475421,50.8226575108657,10,1e-05,17.786868566054,10.1875542079876,6.08949187690583,12.475147672434,1.70388872639944,58.5491279386243,17.084509239796,102.123411773031
"9",0.08,0.936887807568135,4,1.24550421837885,12.2752109160852,0.587325869881928,3.62425541461958,0.138754326963061,0.404792086916665,0.118117458179473,0.385850678669952,9.0374699243478,263.718883923085,2599.1119700293,124.35840892295,767.387680340194,29.3793756024573,85.7093182080964,25.009794253019,81.6987279836356,1913.56355664505,6.37562136956908,4.15649670309964,17.9311995277847,2.16933173997949,0.104954395261601,12.3568790189211,0.5828780381708,8.16987279836357,50.2761765539802,10,1e-05,17.7868695957632,10.1875544191594,6.08949241838571,12.475148210239,1.70388862153294,58.5491274516265,17.084509151079,102.12341014513
"10",0.09,0.926704242231945,4,1.24550419339806,12.2752096403458,0.587325781565076,3.62425566946177,0.138754322291777,0.404792109089057,0.118117483238359,0.438852080968948,9.03746833006656,260.852368461164,2570.86047964685,123.006668296772,759.046561464089,29.0600335156526,84.7776996255549,24.7379538525171,91.9110552430504,1892.76361435515,6.3063209957644,4.11131658527741,17.7362913149107,2.14575204368756,0.103813580253151,12.2225644325766,0.576542465793063,9.19110552430504,49.7296851871842,10,1e-05,17.7868766761333,10.1875560780046,6.08949374275092,12.4751490580219,1.70388901470031,58.5491306586411,17.0845127755963,102.123392129752
